"city","state","date","association","church","organized","members","minister","ordained","settled","race","citation","lon","lat","jlat","jlon","url"
"Egremont","MA","1853-06","Berkshire South Association","",1816,76,"E. Clark","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.414444,42.184722,42.184722,-73.414444,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Great Barrington","MA","1853-06","Berkshire South Association","",1753,216,"N. Greely","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.362008,42.1959798,42.1959798,-73.362008,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Housatonic","MA","1853-06","Berkshire South Association","",1841,107,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3662214,42.2542548,42.2542548,-73.3662214,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Lee","MA","1853-06","Berkshire South Association","",1780,367,"Nahum Gale","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.2481951,42.3042151,42.3042151,-73.2481951,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Lenox","MA","1853-06","Berkshire South Association","",1769,219,"Harvey Neill","","1846","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.2848762,42.3564609,42.3564609,-73.2848762,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Monterey","MA","1853-06","Berkshire South Association","",1750,94,"Samuel Howe","","1844","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.2120526,42.1792563,42.1792563,-73.2120526,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"New Marlboro","MA","1853-06","Berkshire South Association","First Church",1744,126,"Richard T. Searl","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-71.5527046,42.3451374,42.3438644168676,-71.5610936202869,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"New Marlboro","MA","1853-06","Berkshire South Association","Southfield",1794,65,"Otis Lombard","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-71.5527046,42.3451374,42.3501818926207,-71.5527320722746,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Otis","MA","1853-06","Berkshire South Association","",1795,88,"Henry A. Austin","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.0919689,42.1930224,42.1930224,-73.0919689,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Sandisfield","MA","1853-06","Berkshire South Association","",1756,208,"Aaron Pickett","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.1431637,42.1125914,42.1125914,-73.1431637,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Sheffield","MA","1853-06","Berkshire South Association","",1735,223,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3551436,42.1099885,42.1099885,-73.3551436,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Stockbridge","MA","1853-06","Berkshire South Association","[First Congregational Church]",1734,220,"A. H. Dahiell Jr.","","1850","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3203862,42.2875874,42.2903291930889,-73.3278925390819,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Stockbridge","MA","1853-06","Berkshire South Association","Curtisville",1724,62,"Winthrop H. Phelps","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3203862,42.2875874,42.2890285010431,-73.330358081213,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"West Stockbridge","MA","1853-06","Berkshire South Association","Center",1789,85,"Sidney Bryant","","1842","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3677582,42.3338097,42.3342683863799,-73.3568158666667,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"West Stockbridge","MA","1853-06","Berkshire South Association","Village",1832,120,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.3677582,42.3338097,42.3340999153476,-73.3625493014851,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Austerlitz","NY","1853-06","Berkshire South Association","",1792,61,"Samuel Utley","","1848","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.4731684,42.3117536,42.3117536,-73.4731684,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Chatham","MA","1853-06","Brewster Association","",1710,146,"N. S. Dickinson","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-72.5,41.5667,41.5667,-72.5,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Dennis","MA","1853-06","Brewster Association","South",1807,122,"I. C. Thacher","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.1939429,41.7353062,41.7353062,-70.1939429,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Eastham","MA","1853-06","Brewster Association","",1676,48,"E. Chace","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-69.9740361,41.8299634,41.8299634,-69.9740361,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Harwich","MA","1853-06","Brewster Association","",1744,112,"M. H. Wilder","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.076389,41.686111,41.686111,-70.076389,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Orleans","MA","1853-06","Brewster Association","",1719,140,"J. White","","1841","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-69.9897323,41.7898354,41.7898354,-69.9897323,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Provincetown","MA","1853-06","Brewster Association","",1714,38,"O. Myrick","","1846","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.1786425,42.0584412,42.0584412,-70.1786425,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Sandwich","MA","1853-06","Brewster Association","Puritan Congregationalist Church",1847,39,"Giles Pease","","1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.4939317,41.7589615,41.7551049279596,-70.4908913202051,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Truro","MA","1853-06","Brewster Association","[First Congregational Church]",1711,103,"E. W. Noble","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.0490107,41.99477,41.9858403989137,-70.0514847319666,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Truro","MA","1853-06","Brewster Association","North",1842,22,"S. J. M. Lord","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.0490107,41.99477,41.9979331967449,-70.0549688983706,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Wellfleet","MA","1853-06","Brewster Association","[First Congregational Church]",1730,223,"George Denham","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.0309753,41.9305468,41.9322220212649,-70.0344389367898,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Wellfleet","MA","1853-06","Brewster Association","South",1833,142,"E. Dow","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.0309753,41.9305468,41.9223212374407,-70.024737567184,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Yarmouth","MA","1853-06","Brewster Association","[First Congregational Church]",1639,126,"A. K. Packard","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.2286681,41.7056291,41.7086174959622,-70.2259511882304,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Yarmouth","MA","1853-06","Brewster Association","West",1840,50,"J. H. Wells","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 47)",-70.2286681,41.7056291,41.6992666569346,-70.220709843914,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Bridgewater","MA","1853-06","Bridgewater Association","Trinity Church",1821,96,"D. Brigham","","1845","","The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48)",-70.9750541,41.9903519,41.9879309531227,-70.9658113979706,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Bridgewater","MA","1853-06","Bridgewater Association","Scotland Church",1836,32,"J. D. Farnsworth","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48)",-70.9750541,41.9903519,41.986165681452,-70.9853547680685,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"E. Bridgewater","MA","1853-06","Bridgewater Association","Trinity Church",1849,37,"B. Sanford","","1850","","The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48)",-70.9592096,42.0334341,42.0334341,-70.9592096,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Middleboro","MA","1853-06","Bridgewater Association","First Church",1694,184,"I. W. Putnam","","1835","","The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48)",-70.9107708,41.8929942,41.8999587883072,-70.9198527420038,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Middleboro","MA","1853-06","Bridgewater Association","West",1725,143,"C. Chapman","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 47-48)",-70.9107708,41.8929942,41.8929995536555,-70.9228082269659,"https://archive.org/stream/americancongrega04amer#page/47/mode/1up"
"Brimfield","MA","1853-06","Brookfield Association","",1725,204,"Jason Morse","","1849","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.2005059,42.1225482,42.1225482,-72.2005059,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Brookfield","MA","1853-06","Brookfield Association","",1756,130,"J. K. Bragg","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.1022991,42.2139817,42.2139817,-72.1022991,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Charlton","MA","1853-06","Brookfield Association","",1760,86,"John Haven","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-71.970074,42.13565,42.13565,-71.970074,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Dana","MA","1853-06","Brookfield Association","Centre",1852,21,"John Keep","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.2336875,42.4178409,42.4178409,-72.2336875,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Dudley","MA","1853-06","Brookfield Association","",1732,127,"Joshua Bates","","1843","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-71.9276033,42.0433661,42.0433661,-71.9276033,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Hardwick","MA","1853-06","Brookfield Association","",1736,91,"Martyn Tupper","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.2,42.35,42.35,-72.2,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Holland","MA","1853-06","Brookfield Association","",1765,47,"Alvah C. Paige","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.1572885,42.0639524,42.0639524,-72.1572885,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"New Braintree","MA","1853-06","Brookfield Association","",1754,114,"John Fiske","","1796","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.1259114,42.3167581,42.3167581,-72.1259114,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"North Brookfield","MA","1853-06","Brookfield Association","",1752,301,"Thomas Snell; C. Cushing","","1798; 1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.08504,42.2685574,42.2685574,-72.08504,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Oakham","MA","1853-06","Brookfield Association","",1767,230,"James Kimball","","1832","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.0449783,42.3527105,42.3527105,-72.0449783,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Southbridge","MA","1853-06","Brookfield Association","",1801,204,"Eber Carpenter","","1835","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.0333905,42.0751065,42.0751065,-72.0333905,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Spencer","MA","1853-06","Brookfield Association","",1744,108,"","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-71.9922867,42.2439682,42.2439682,-71.9922867,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Sturbridge","MA","1853-06","Brookfield Association","",1736,289,"M. Beebee","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.0787059,42.1084122,42.1084122,-72.0787059,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Ware","MA","1853-06","Brookfield Association","[First Congregational Church]",1751,134,"David N. Coburn","","1842","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.2398566,42.2598457,42.2627778370927,-72.2342482207473,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Ware","MA","1853-06","Brookfield Association","Village",1826,221,"T. G. Colton","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.2398566,42.2598457,42.2517603668724,-72.2381321030025,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Warren","MA","1853-06","Brookfield Association","",1743,142,"I. H. Northrup","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.191185,42.2125423,42.2125423,-72.191185,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"West Brookfield","MA","1853-06","Brookfield Association","",1717,222,"G. Byington","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 48)",-72.1411642,42.2353463,42.2353463,-72.1411642,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Amesbury","MA","1853-06","Essex North Association","Mills",1831,209,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.9300376,42.8583925,42.8522419774556,-70.9352088402977,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Amesbury","MA","1853-06","Essex North Association","West",1726,186,"A. Paine","","1848","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.9300376,42.8583925,42.861089749109,-70.93979689687,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Amesbury","MA","1853-06","Essex North Association","and Salisbury",1835,72,"J. M. Bacon","","1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.9300376,42.8583925,42.864672138856,-70.9237502476436,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Boxford","MA","1853-06","Essex North Association","West",1732,75,"C. E. Park","","1846","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.996726,42.6611604,42.6548300062019,-70.9963053069671,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Bradford","MA","1853-06","Essex North Association","First Church",1682,191,"","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0758905,42.7695348,42.7695348,-71.0758905,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Georgetown","MA","1853-06","Essex North Association","",1732,158,"Isaac Braman; J. M. Prince","","1797; 1847","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.9911659,42.7250918,42.7250918,-70.9911659,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Groveland","MA","1853-06","Essex North Association","",1728,NA,"G. B. Perry","","1814","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0314451,42.7603688,42.7603688,-71.0314451,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Haverhill","MA","1853-06","Essex North Association","Centre",1833,172,"B. F. Hosford","","1845","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0772796,42.7762015,42.7848511782495,-71.0838025811302,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Haverhill","MA","1853-06","Essex North Association","North",1730,NA,"C. Tenney","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0772796,42.7762015,42.7762399264874,-71.0702748477398,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Haverhill","MA","1853-06","Essex North Association","East",1743,29,"Wales Lewis","","1849","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0772796,42.7762015,42.7720936858018,-71.0831103321818,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Haverhill","MA","1853-06","Essex North Association","West",1735,111,"A. Farwell","","1853","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0772796,42.7762015,42.77046044603,-71.0854589020586,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Haverhill","MA","1853-06","Essex North Association","Winter Street Church",1839,72,"L. S. Parkes","","1853","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-71.0772796,42.7762015,42.7810486488616,-71.0725415951327,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Ipswich","MA","1853-06","Essex North Association","First Church",1634,NA,"D. T. Kimball; R. Southgate","","1806; 1851","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.8411558,42.6791832,42.6736236528636,-70.841537797573,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Ipswich","MA","1853-06","Essex North Association","Linebrook",1849,77,"W. Holbrook","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.8411558,42.6791832,42.6877152526138,-70.8309080103983,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Newbury","MA","1853-06","Essex North Association","First Church",1635,NA,"L. Withington","","1816","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.845833,42.766667,42.7660407724509,-70.8412777278314,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Newbury","MA","1853-06","Essex North Association","Byfield Church",1706,111,"F. V. Tenney","","1850","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.845833,42.766667,42.7591468982916,-70.8567901271201,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
"Newburyport","MA","1853-06","Essex North Association","Belleville",1808,180,"D. T. Fiske","","1847","","The Year-book of the American Congregational Union for the Year 1854 (pp. 48-49)",-70.8772751,42.8125913,42.8196336786835,-70.885221943244,"https://archive.org/stream/americancongrega04amer#page/48/mode/1up"
