"volume","page","mission_number","type","church","city","state","start_date","end_date","confessions_total","converts","under_instruction","diocese","confessions_adults","confessions_children","confessions_men","confessions_women","order","notes","converts_adult","converts_children","temperance_pledges","confirmed","location","geo.lon","geo.lat"
1,38,19,"mission","Cathedral of the Assumption","Louisville","KY","10/17/1852","10/31/1852",2000,"several",NA,"Louisville",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Louisville KY",-85.7584557,38.2526647
1,39,20,"mission","Cathedral of the Immaculate Conception","Albany","NY","11/28/1852","12/12/1852",4500,"several",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Albany NY",-73.7562317,42.6525793
1,40,21,"mission","St. Peter's Cathedral","Richmond","VA","12/24/1852","1/3/1853",620,"several",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Richmond VA",-77.4360481,37.5407246
1,41,22,"mission","St. John's Cathedral","Cleveland","OH","1/23/1853","2/6/1853",2300,"several",NA,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cleveland OH",-81.6954088,41.4994954
1,42,23,"mission","St. Mary's Church","Philadelphia","PA","2/20/1853","3/6/1853",2550,"several",NA,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",-75.163789,39.952335
1,45,24,"mission","Cathedral of Baltimore","Baltimore","MD","4/10/1853","4/24/1853",4500,"",NA,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Baltimore MD",-76.6121893,39.2903848
1,51,25,"mission","St. Ignatius' Church","Harford County","MD","8/28/1853","9/10/1853",320,"",NA,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Harford County MD",-76.3637285,39.5838964
1,51,26,"mission","St. Michael's Church","Flushing","NY","9/11/1853","9/18/1853",950,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Flushing NY",-73.833079,40.7674987
1,52,27,"mission","St. Peter's Church","New Brighton, Staten Island","NY","9/29/1853","10/3/1853",1200,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Brighton, Staten Island NY",-74.090226,40.6404369
1,52,28,"mission","St. Mary's Church","Yonkers","NY","9/29/1853","10/2/1853",550,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Yonkers NY",-73.8987469,40.9312099
1,53,29,"mission","St. Mary's Church","New York","NY","10/16/1853","10/30/1853",7800,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,53,30,"mission","St. Patrick's Church","Norfolk","VA","11/13/1853","11/24/1853",500,"many",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Norfolk VA",-76.2858726,36.8507689
1,55,31,"mission","St. Paul's Church","Portsmouth","VA","11/13/1853","11/24/1853",330,"10",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Portsmouth VA",-76.2982742,36.8354258
1,56,32,"mission","St. Peter and Paul's Church","Williamsburg, Brookyln, New York","NY","12/4/1853","12/18/1853",4000,"16",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Williamsburg, Brookyln, New York NY",-73.9536163,40.7064461
1,58,33,"mission","St. Patrick's Church","New Orleans","LA","1/15/1854","1/29/1854",3000,"several",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,61,34,"mission","St. Joseph's Church","New Orleans","LA","2/12/1854","2/21/1854",1300,"several",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,62,35,"mission","Cathedral of the Immaculate Conception","Mobile","AL","3/4/1854","3/16/1854",1300,"2",NA,"Mobile",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Mobile AL",-88.0430541,30.6943566
1,63,36,"mission","St. Alphonsus' Church","New Orleans","LA","3/26/1854","4/5/1854",2000,"",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,64,37,"mission","St. Peter's Church","New Orleans","LA","4/9/1854","4/17/1854",1700,"2",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,64,38,"mission","St. John Baptist's Church","New Orleans","LA","4/23/1854","4/30/1854",1500,"2",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,65,39,"mission","St. Theresa's Church","New Orleans","LA","5/14/1854","5/21/1854",1500,"",NA,"New Orleans",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New Orleans LA",-90.0715323,29.9510658
1,66,40,"mission","St. John's Church","Schenectady","NY","10/8/1854","10/18/1854",1300,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Schenectady NY",-73.9395687,42.8142432
1,67,41,"mission","","Patterson","NJ","10/29/1854","11/9/1854",2700,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Patterson NJ",-74.171811,40.9167654
1,68,42,"mission","Church of Our Lady of the Mountain","Emmitsburg","MD","11/19/1854","11/26/1854",500,"",NA,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Emmitsburg MD",-77.3269307,39.7045417
1,70,43,"mission","St. Peter's Church","Baltimore","MD","12/3/1854","12/13/1854",2500,"several",NA,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Baltimore MD",-76.6121893,39.2903848
1,71,44,"mission","St. Patrick's Cathedral","Newark","NK","12/31/1854","1/14/1855",4400,"",NA,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newark NK",-74.1723667,40.735657
1,72,45,"mission","St. Mary's Church","Charlestown","MA","1/28/1855","2/11/1855",2800,"several",NA,"Boston",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Charlestown MA",-71.0602131,42.3782065
1,74,46,"mission","St. Patrick's Church","Utica","NY","2/21/1855","3/4/1855",1000,"several",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Utica NY",-75.232664,43.100903
1,75,47,"mission","Church of the Annunciation","Manhattanville","NY","3/18/1855","4/1/1855",1400,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Manhattanville NY",-73.9558333,40.8169443
1,76,48,"mission","","Lexington","KY","4/15/1855","4/25/1855",600,"3",NA,"Covington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Lexington KY",-84.5037164,38.0405837
1,76,49,"mission","","Frankfort","KY","4/29/1855","5/3/1855",350,"2",NA,"Covington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Frankfort KY",-84.8732835,38.2009055
1,79,50,"mission","","Canandagua","NY","9/9/1855","9/17/1855",700,"",NA,"Buffalo",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Canandagua NY",-77.2816984,42.887535
1,79,51,"mission","St. Paul's Cathedral","Pittsburgh","PA","10/14/1855","10/28/1855",7600,"20",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Pittsburgh PA",-79.9958864,40.4406248
1,83,52,"mission","St. Joseph's Cathedral","Buffalo","NY","11/11/1855","11/21/1855",3000,"several",NA,"Buffalo",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Buffalo NY",-78.8783689,42.8864468
1,84,53,"mission","Church of the Holy Angels","Sandusky","OH","12/2/1855","12/12/1855",1100,"",NA,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Sandusky OH",-82.7079605,41.4489396
1,85,54,"mission","St. John's Cathedral","Cleveland","OH","12/16/1855","12/25/1855",3300,"",NA,"Cleveland",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cleveland OH",-81.6954088,41.4994954
1,86,55,"mission","St. Stephen's Church","New York","NY","1/6/1856","1/18/1856",4000,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,87,56,"mission","Church of OUr Lady Start of the Sea","Brooklyn","NY","2/3/1856","2/17/1856",2800,"1",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brooklyn NY",-73.95,40.65
1,89,57,"mission","St. Patrick's Church","Newburgh","NY","3/2/1856","3/13/1856",1350,"several",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newburgh NY",-74.0104178,41.5034271
1,91,58,"mission","St. Patrick's Church","Norfolk","VA","3/30/1856","4/6/1856",400,"",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Norfolk VA",-76.2858726,36.8507689
1,95,59,"mission","","Portsmouth","VA","3/30/1856","4/8/1856",520,"9",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Portsmouth VA",-76.2982742,36.8354258
1,95,60,"mission","Richmond Cathedral","Richmond","VA","4/13/1856","4/23/1856",900,"",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Richmond VA",-77.4360481,37.5407246
1,97,61,"mission","","Petersburg","VA","4/13/1856","4/18/1856",210,"",NA,"Richmond",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Petersburg VA",-77.4019267,37.2279279
1,97,62,"mission","St. Mary's Church","Hoboken","NJ","9/28/1856","10/5/1856",700,"7",NA,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hoboken NJ",-74.0323626,40.7439905
1,102,63,"mission","St. Peter's Church","Wilmington","DE","10/12/1856","10/23/1856",1700,"",NA,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Wilmington DE",-75.5466667,39.7458333
1,106,64,"mission","St. Patrick's Church","Washington","DC","11/2/1856","11/15/1856",2700,"several",NA,"Baltimore",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Washington DC",-77.0364641,38.9072309
1,111,65,"mission","St. John's Church","Savannah","GA","11/23/1856","12/7/1856",2500,"several",NA,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Savannah GA",-81.0998342,32.0835407
1,113,66,"mission","Church of the Immaculate Conception","Atlanta","GA","12/14/1856","12/19/1856",190,"several",NA,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Atlanta GA",-84.3879824,33.7489954
1,114,67,"mission","Church of the Assumption of the Blessed Virgin Mary","Macon","GA","12/21/1856","12/28/1856",210,"several",NA,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Macon GA",-83.6324022,32.8406946
1,116,68,"mission","St. Philip and James' Church","Columbus","GA","1/4/1857","1/11/1857",170,"1",NA,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Columbus GA",-84.9877094,32.4609764
1,119,69,"mission","Trinity Church","Augusta","GA","12/14/1856","12/24/1856",750,"",NA,"Savannah",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Augusta GA",-82.0105148,33.4734978
1,126,70,"mission","","St. Augustine","FL","1/4/1857","1/11/1857",600,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"St. Augustine FL",-81.3132083,29.8942639
1,129,71,"mission","Cathedral of St. John and St. Finabarr","Charleston","SC","1/25/1857","2/8/1857",3100,"20",NA,"Charleston",NA,200,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Charleston SC",-79.9309216,32.7765656
1,133,72,"mission","St. Mary's Church","Roudout","NY","3/1/1857","3/15/1857",2200,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Roudout NY",-73.9851381,41.920648
1,136,73,"mission","St. Mary's Church","Hudson","NY","3/22/1857","3/29/1857",800,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hudson NY",-73.790959,42.2528649
1,137,74,"mission","St. James' Church ","Newark","NJ","9/26/1857","10/6/1857",1900,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Newark NJ",-74.1723667,40.735657
1,138,75,"mission","Church of Our Lady of Loretto","Cold Spring","NY","10/11/1857","10/18/1857",800,"2",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cold Spring NY",-73.954583,41.4200937
1,140,76,"mission","St. Peter's Church","Poughkeepsie","NY","10/24/1857","11/6/1857",1950,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Poughkeepsie NY",-73.9209701,41.7003713
1,142,77,"mission","St. John's Church","Utica","NY","11/15/1857","11/27/1857",3000,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Utica NY",-75.232664,43.100903
1,144,78,"mission","St. Joseph's Church","Brandywine","DE","12/6/1857","12/14/1857",920,"1",NA,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brandywine DE",-75.5343681,39.8295563
1,145,79,"mission","St. John the Baptist's Church","Trenton","NJ","12/20/1857","12/31/1857",2050,"5",NA,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Trenton NJ",-74.7429384,40.2170534
1,148,80,"mission","Cathedral of Burlington","Burlington","VT","1/10/1858","1/18/1858",1400,"2",NA,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Burlington VT",-73.212072,44.4758825
1,151,81,"mission","St John Baptist's Church","Plattsburg","NY","1/24/1858","1/31/1858",1100,"1",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Plattsburg NY",-73.4529124,44.6994873
1,153,82,"mission","","Brandon","VT","2/7/1858","2/11/1858",277,"",NA,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brandon VT",-73.087648,43.7981572
1,155,83,"mission","","East Rutland","VT","2/7/1858","2/15/1858",840,"",NA,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"East Rutland VT",-72.9726065,43.6106237
1,156,84,"mission","","West Rutland","VT","2/21/1858","3/1/1858",1008,"3",NA,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"West Rutland VT",-73.0451081,43.5930919
1,157,85,"mission","","Saratoga Springs","NY","3/7/1858","3/15/1858",970,"",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Saratoga Springs NY",-73.7845651,43.0831301
1,158,86,"mission","","Little Falls","NY","3/21/1858","3/28/1858",800,"3",NA,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Little Falls NY",-74.8595957,43.0434039
1,169,1,"mission","St. Patrick's Church","Watertown","NY","4/18/1858","4/26/1858",1073,"5",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Watertown NY",-75.9107565,43.9747838
1,172,2,"mission","St. Bridget's Church","New York","NY","5/2/1858","5/16/1858",5700,"15",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,178,3,"mission","Cathedral of Ss. Peter & Paul","Providence","RI","9/19/1858","10/1/1858",4430,"",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Providence RI",-71.4128343,41.8239891
1,183,4,"mission","St. Peter's Cathedral","New York","NY","10/10/1858","10/17/1858",2000,"",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,186,5,"mission","St. Mary's Cathedral","Covington","KY","10/24/1858","11/1/1858",1450,"",NA,"Covington",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Covington KY",-84.5085536,39.0836712
1,189,6,"mission","St. Augustine's Church","Kalamazoo","MI","11/7/1858","11/14/1858",430,"2",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Kalamazoo MI",-85.5872286,42.2917069
1,192,7,"mission","Church of the Immaculate Conception","Marshall","MI","11/21/1858","11/26/1858",575,"1",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Marshall MI",-84.9633148,42.2722641
1,193,8,"mission","St. John's Church","Jackson","MI","11/28/1858","12/5/1858",450,"1",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Jackson MI",-84.4013462,42.245869
1,196,9,"mission","St. Thomas's Church","Ann Arbor","MI","12/12/1858","12/19/1858",910,"5",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ann Arbor MI",-83.7430378,42.2808256
1,200,10,"mission","St. Mary's Church","New Haven","CT","1/2/1859","1/14/1859",2060,"4",NA,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New Haven CT",-72.9278835,41.308274
1,202,11,"mission","St. Paul's Church","Princeton","NJ","1/23/1859","1/31/1859",570,"1",NA,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Princeton NJ",-74.6672226,40.3572976
1,206,12,"mission","St. Peter's Church","Belleville","NJ","2/13/1859","2/20/1859",1135,"2",NA,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Belleville NJ",-74.1500469,40.7936744
1,209,13,"mission","St. Patrick's Church","Quebec","QC","3/20/1859","4/3/1859",7250,"50",NA,"Quebec",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Quebec QC",-71.242796,46.8032826
1,218,14,"mission","St. Peter's Church","Troy","NY","4/10/1859","4/20/1859",2600,"6",NA,"Albany",2440,160,NA,NA,"Paulist","",NA,NA,NA,NA,"Troy NY",-73.6917851,42.7284117
1,223,15,"mission","Cathedral of the Immaculate Conception","St. John","NB","9/4/1859","9/15/1859",8450,"6",NA,"Halifax",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. John NB",-66.0633081,45.2733153
1,227,16,"mission","St. Mary's Church","Jersey City","NJ","10/2/1859","10/10/1859",1950,"3",NA,"Newark",1800,150,NA,NA,"Paulist","",NA,NA,NA,NA,"Jersey City NJ",-74.0776417,40.7281575
1,230,17,"mission","St. Mary's Church","New York","NY","10/16/1859","10/23/1859",3500,"5",NA,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,234,18,"mission","St. James' Church","Bridgeport","CT","10/30/1859","11/7/1859",1570,"",NA,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Bridgeport CT",-73.1951767,41.1865478
1,237,19,"mission","Church of St. Paul the Apostle","New York","NY","12/18/1859","12/25/1859",800,"",NA,"New York",725,75,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,239,20,"mission","St. Mary's Church","Clifton, Staten Island","NY","1/1/1860","1/8/1860",1250,"3",NA,"New York",1159,91,NA,NA,"Paulist","",NA,NA,NA,NA,"Clifton, Staten Island NY",-74.0784785,40.6189726
1,241,21,"mission","Church of the Immaculate Conception","Waterbury","CT","1/15/1860","1/29/1860",2800,"3",NA,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Waterbury CT",-73.0514965,41.5581525
1,244,22,"mission","St. John's Church","Middletown","CT","2/5/1860","2/14/1860",2270,"3",NA,"Hartford",2100,170,NA,NA,"Paulist","",NA,NA,NA,NA,"Middletown CT",-72.6506488,41.5623209
1,247,23,"mission","St. Mary's Church","New Britain","CT","2/19/1860","2/28/1860",1230,"",NA,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New Britain CT",-72.7795419,41.6612104
1,249,24,"mission","St. Rose's Church","Meriden","CT","3/11/1860","3/18/1860",810,"",NA,"Hartford",770,40,NA,NA,"Paulist","",NA,NA,NA,NA,"Meriden CT",-72.8070435,41.5381535
1,250,25,"mission","Church of St. Paul the Apostle","New York","NY","3/25/1860","3/28/1860",925,"",NA,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,251,26,"mission","Cathedral","Kingston","ON","4/15/1860","4/25/1860",2640,"5",NA,"Kingston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Kingston ON",-76.4859544,44.2311717
1,255,27,"mission","St. Mary's Church","Norwich","CT","5/6/1860","5/16/1860",1900,"5",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Norwich CT",-72.0759105,41.5242649
1,259,28,"mission","Church of the Immaculate Conception","Lawrence","MA","9/30/1860","10/12/1860",2150,"",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Lawrence MA",-71.1631137,42.7070354
1,261,29,"mission","St. Patrick's Church","Elizabethport","NJ","10/20/1860","10/28/1860",1000,"1",NA,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Elizabethport NJ",-74.1870888,40.6501031
1,263,30,"mission","St. Soryl's Church","Hudson City","NJ","11/4/1860","11/12/1860",1100,"1",NA,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Hudson City NJ",-73.9242251,41.1896081
1,266,31,"mission","St. James Church","New York","NY","11/25/1860","12/9/1860",6950,"10",NA,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,271,32,"mission","St. John Baptist Church","Boston","MA","12/30/1860","1/10/1861",4550,"",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Boston MA",-71.0597732,42.3584308
1,274,33,"mission","St. Gregory's Church","Haverhill","MA","1/20/1861","1/28/1861",1002,"4",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Haverhill MA",-71.0772796,42.7762015
1,276,34,"mission","Church of the Holy Redeemer","East Boston","MA","2/13/1861","2/27/1861",2900,"",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"East Boston MA",-71.0388601,42.3702137
1,278,35,"mission","Church of the Immaculate Conception","Newburyport","MA","3/3/1861","3/13/1861",1900,"",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Newburyport MA",-70.8772751,42.8125913
1,281,36,"mission","","Pittston","PA","4/14/1861","4/22/1861",1980,"3",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Pittston PA",-75.7893604,41.3259134
1,282,37,"mission","","Holyoke","MA","4/28/1861","5/9/1861",1850,"5",NA,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Holyoke MA",-72.6162009,42.2042586
1,284,38,"mission","St. Mary's Church","Elizabeth","NJ","10/6/1861","10/14/1861",950,"1",NA,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Elizabeth NJ",-74.2107006,40.6639916
1,285,39,"mission","St. Michael's Church","New York","NY","11/17/1861","11/28/1861",4000,"",NA,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
