"city","state","year","long","lat","confessions","converts","number_missions"
"New York","NY",1859,-74.0059731,40.7143528,4300,5,2
"New York","NY",1860,-74.0059731,40.7143528,7875,10,2
"New York","NY",1861,-74.0059731,40.7143528,4000,0,1
"New York","NY",1862,-74.0059731,40.7143528,9200,1,2
"New York","NY",1863,-74.0059731,40.7143528,3500,0,1
"New York","NY",1864,-74.0059731,40.7143528,4500,6,1
"New York","NY",1873,-74.0059731,40.7143528,13130,10,3
"New York","NY",1874,-74.0059731,40.7143528,4280,6,1
"New York","NY",1877,-74.0059731,40.7143528,13300,15,2
"New York","NY",1878,-74.0059731,40.7143528,6200,6,1
"New York","NY",1879,-74.0059731,40.7143528,5750,0,1
"New York","NY",1880,-74.0059731,40.7143528,2325,5,1
"New York","NY",1881,-74.0059731,40.7143528,10000,3,2
"New York","NY",1882,-74.0059731,40.7143528,13345,27,3
"New York","NY",1883,-74.0059731,40.7143528,11342,16,3
"New York","NY",1884,-74.0059731,40.7143528,14495,16,3
"New York","NY",1885,-74.0059731,40.7143528,12210,10,3
"New York","NY",1886,-74.0059731,40.7143528,36587,35,6
"New York","NY",1887,-74.0059731,40.7143528,14897,34,5
"New York","NY",1888,-74.0059731,40.7143528,18408,9,3
"New York","NY",1889,-74.0059731,40.7143528,17892,6,3
"New York","NY",1890,-74.0059731,40.7143528,20132,21,3
"New York","NY",1891,-74.0059731,40.7143528,15300,11,2
"New York","NY",1892,-74.0059731,40.7143528,6500,6,1
"New York","NY",1893,-74.0059731,40.7143528,16507,20,4
"Noblesville","IN",1889,-86.0085955,40.0455917,83,0,1
"Norfolk","VA",1853,-76.2858726,36.8507689,500,7,1
"Norfolk","VA",1856,-76.2858726,36.8507689,400,0,1
"Norfolk","VA",1883,-76.2858726,36.8507689,850,4,1
"Norfolk","VA",1888,-76.2858726,36.8507689,810,0,1
"North Bridgewater","MA",1864,-70.9750541,41.9903519,1100,1,1
"North Bridgewater","MA",1871,-70.9750541,41.9903519,1400,0,1
"Northfield","MI",1880,-83.7433813,42.4003857,523,7,1
"North Manchester","CT",1878,-72.5215009,41.7759301,645,1,1
"North Warren","MA",1889,-72.191185,42.2125423,1450,0,1
"North Weymouth","MA",1893,-70.9467133,42.2459331,240,0,1
"Norwich","CT",1860,-72.0759105,41.5242649,1900,5,1
"Norwich","CT",1893,-72.0759105,41.5242649,4060,3,1
"Norwood","MA",1891,-71.1989695,42.1943909,1110,0,1
"Oakland","CA",1875,-122.2711137,37.8043637,1700,1,1
"O'Fallon","IL",1878,-89.910991,38.592323,380,1,1
"Ogdensburg","NY",1875,-75.4863364,44.6942291,1850,6,1
"Ogdensburg","NY",1890,-75.4863364,44.6942291,2495,14,1
"Old Point Comfort","VA",1884,-76.3113315,37.0004248,170,0,1
"Ophir City","UT",1875,-112.2585566,40.36939,37,1,1
"Orange","NJ",1862,-74.2326478,40.7706187,1000,2,1
"Oriskany Falls","NY",1882,-75.4610076,42.9392363,300,1,1
"Oshkosh","WI",1881,-88.5426136,44.0247062,720,1,1
"Ossining","NY",1889,-73.8615246,41.1628731,580,0,1
"Ottawa","Canada",1892,-75.6971931,45.4215296,2516,0,1
"Ottowa","IL",1884,-88.8425769,41.3455892,1675,0,1
"Ovid","NY",1874,-76.8230111,42.6764593,700,3,1
"Ovid","NY",1891,-76.8230111,42.6764593,993,0,1
"Owatonna","MN",1876,-93.2259349,44.0855572,400,3,1
"Owatonna","MN",1886,-93.2259349,44.0855572,460,0,1
"Oyster Bay, Long Island","NY",1886,-73.5320685,40.8656543,294,0,1
"Palmyra","NY",1889,-77.2333154,43.0639521,455,0,1
"Paris","IL",1877,-87.6961374,39.611146,462,2,1
"Paris","IL",1881,-87.6961374,39.611146,375,2,1
"Parkville","NY",1892,-74.7596049,41.8553669,370,0,1
"Paterson","NJ",1892,-74.171811,40.9167654,2200,12,1
"Patterson","NJ",1854,-74.171811,40.9167654,2700,0,1
"Penn Yan","NY",1876,-77.0538577,42.6609026,800,2,1
"Penn Yan","NY",1887,-77.0538577,42.6609026,1025,4,1
"Pensacola","FL",1886,-87.2169149,30.421309,875,20,1
"Pensacola","FL",1890,-87.2169149,30.421309,770,0,1
"Peoria","IL",1892,-89.5889864,40.6936488,317,0,1
"Perth Amboy","NJ",1885,-74.2654234,40.5067723,1042,0,1
"Petersburg","VA",1856,-77.4019267,37.2279279,210,0,1
"Petersburg","VA",1880,-77.4019267,37.2279279,325,0,1
"Petersburg","VA",1884,-77.4019267,37.2279279,320,1,1
"Phelps","NY",1886,-77.057471,42.957564,250,0,1
"Philadelphia","PA",1852,-75.163789,39.952335,4700,0,2
"Philadelphia","PA",1853,-75.163789,39.952335,2550,3,1
"Philadelphia","PA",1863,-75.163789,39.952335,1500,0,1
"Philadelphia","PA",1872,-75.163789,39.952335,1500,9,1
"Philadelphia","PA",1890,-75.163789,39.952335,9800,25,1
"Philadelphia","PA",1893,-75.163789,39.952335,4800,12,1
"Pinckney","MI",1887,-83.9463358,42.4567013,445,1,1
"Pipestone","MN",1885,-96.3128117,43.9985815,50,0,1
"Pittsburgh","PA",1855,-79.9958864,40.4406248,7600,20,1
"Pittsburgh","PA",1885,-79.9958864,40.4406248,3048,0,1
"Pittsburgh","PA",1887,-79.9958864,40.4406248,4147,19,2
"Pittsburgh","PA",1889,-79.9958864,40.4406248,6980,20,1
"Pittsburgh","PA",1890,-79.9958864,40.4406248,4620,3,2
"Pittsburgh","PA",1891,-79.9958864,40.4406248,4035,2,2
"Pittsfield","MA",1863,-73.2453824,42.4500845,2000,1,1
"Pittston","PA",1861,-75.7893604,41.3259134,1980,3,1
"Plainville ","CT",1883,-72.8569444,41.6747222,298,0,1
"Plattsburg","NY",1858,-73.4529124,44.6994873,1100,1,1
"Plymouth ","MA",1883,-70.6672621,41.9584457,575,0,1
"Pontiac","IL",1889,-88.6297839,40.8808666,365,0,1
"Port Byron","NY",1888,-76.6238343,43.0345099,128,3,1
"Port Chester","NY",1863,-73.6656834,41.0017643,710,1,1
"Port Deposit","MD",1883,-76.1152289,39.6048327,203,1,1
"Port Ewen","NY",1893,-73.976249,41.9053703,284,0,1
"Port Jervis","NY",1864,-74.692663,41.3750937,750,1,1
"Portland","CT",1890,-72.6408139,41.5726229,1023,0,1
"Port Richmond, Staten Island","NY",1887,-74.1254641,40.6354914,0,0,1
"Portsmouth","NH",1893,-70.7625532,43.0717552,1350,0,1
"Portsmouth","VA",1853,-76.2982742,36.8354258,330,10,1
"Portsmouth","VA",1856,-76.2982742,36.8354258,520,9,1
"Portsmouth","VA",1884,-76.2982742,36.8354258,800,0,1
"Poughkeepsie","NY",1857,-73.9209701,41.7003713,1950,0,1
"Poughkeepsie","NY",1883,-73.9209701,41.7003713,2500,1,1
"Poughkeepsie","NY",1884,-73.9209701,41.7003713,2100,0,1
"Princeton","NJ",1859,-74.6672226,40.3572976,570,1,1
"Providence","RI",1858,-71.4128343,41.8239891,4430,0,1
"Providence","RI",1873,-71.4128343,41.8239891,4000,0,1
"Providence","RI",1879,-71.4128343,41.8239891,3507,0,1
"Providence","RI",1890,-71.4128343,41.8239891,1300,0,1
"Quebec","QC",1859,-71.242796,46.8032826,7250,50,1
"Racine","WI",1881,-87.7828523,42.7261309,1017,3,1
"Randolph","MA",1872,-71.042551,42.1619739,1600,2,1
"Raritan","IL",1892,-90.8273591,40.6958732,130,0,1
"Rawley","PA",1862,-80.06532,40.3647715,1150,1,1
"Red Wing","MN",1876,-92.5369563,44.5660691,240,0,1
"Richmond","VA",1852,-77.4360481,37.5407246,620,3,1
"Richmond","VA",1856,-77.4360481,37.5407246,900,0,1
"Richmond","VA",1880,-77.4360481,37.5407246,2328,7,2
"Richmond","VA",1883,-77.4360481,37.5407246,2420,6,2
"Ridgway","PA",1890,-78.7286388,41.4203391,505,0,1
"Rochester","MN",1876,-92.46295,44.0234,2163,10,2
"Rochester","NY",1880,-77.6109219,43.16103,1325,1,1
"Rochester","NY",1888,-77.6109219,43.16103,2570,13,2
"Rock Island","IL",1888,-90.5787476,41.5094771,860,3,1
"Rockland","MA",1883,-70.9161551,42.1306563,1015,1,1
"Rockville","CT",1878,-72.4495287,41.8667645,1058,6,1
"Rockville","CT",1889,-72.4495287,41.8667645,2004,1,1
"Rockville","IN",1890,-87.2291809,39.7625404,80,0,1
"Roudout","NY",1857,-73.9851381,41.920648,2200,0,1
"Roudout","NY",1893,-73.9851381,41.920648,3000,5,1
"Roxbury","MA",1892,-71.0913748,42.3151978,3800,0,2
"Rye","NY",1888,-73.6837399,40.9806535,394,0,1
"Rye","NY",1889,-73.6837399,40.9806535,450,0,1
"Sabula","IL",1878,-90.1740169,42.0711347,86,0,1
"Sacramento","CA",1875,-121.4943996,38.5815719,1600,2,1
"Sag Harbor","NY",1887,-72.2925819,40.9978773,600,0,1
"Salem","MA",1864,-70.8967155,42.51954,2100,3,1
"Salem","MA",1865,-70.8967155,42.51954,2551,11,1
"Salem","MA",1881,-70.8967155,42.51954,3926,1,1
"Salem","MA",1885,-70.8967155,42.51954,4113,0,1
"Salina","NY",1877,-76.1725774,43.1071066,1900,3,1
"Salt Lake City","UT",1875,-111.8910474,40.7607793,75,1,1
"Sand Beach","MI",1892,-82.669947,43.8040404,140,0,1
"Sandusky","OH",1855,-82.7079605,41.4489396,1100,0,1
"Sandusky","OH",1872,-82.7079605,41.4489396,1500,2,1
"Sandusky","OH",1883,-82.7079605,41.4489396,1362,1,1
"Sandy Hill, Hudson Falls","NY",1878,-73.494427,43.788801,1100,8,1
"San Francisco","CA",1875,-122.4194155,37.7749295,14750,31,4
"San Jose","CA",1875,-121.8949555,37.3393857,1100,0,1
"San Rafael","CA",1875,-122.5310874,37.9735346,360,9,1
"Santa Cruz","CA",1875,-122.0307963,36.9741171,650,2,1
"Saratoga","NY",1852,-73.6300729,43.0448483,600,3,1
"Saratoga Springs","NY",1858,-73.7845651,43.0831301,970,0,1
"Savannah","GA",1856,-81.0998342,32.0835407,2500,3,1
"Savannah","GA",1890,-81.0998342,32.0835407,2343,3,1
"Savannah","IL",1878,-90.1567944,42.0944671,130,0,1
"Sayre","PA",1893,-76.515499,41.9789631,700,3,1
"Schenectady","NY",1854,-73.9395687,42.8142432,1300,0,1
"Schenectady","NY",1890,-73.9395687,42.8142432,2337,0,1
"Scranton ","PA",1862,-75.6624122,41.408969,2500,0,1
"Seabright","NJ",1887,-74.1965386,39.8244272,180,0,1
"Seneca","IL",1884,-88.6097936,41.3111442,550,0,1
"Seneca Falls","NY",1880,-76.7966215,42.9106219,1347,3,1
"Seneca Falls","NY",1887,-76.7966215,42.9106219,1870,2,1
"Shakopee","MN",1876,-93.5272861,44.7973962,415,3,1
"Sharon","PA",1873,-80.4934035,41.2331116,700,1,1
"Shelbourne Falls","MA",1879,-72.7392588,42.6042514,115,0,1
"Sherburne","NY",1881,-75.4985123,42.6781266,250,0,1
"Shieldsville","MN",1876,-93.4088334,44.3660744,1100,3,1
"Shieldsville","MN",1886,-93.4088334,44.3660744,636,0,1
"Short Hills","NJ",1889,-74.3232194,40.7483499,417,1,1
"Shullsburg","WI",1878,-90.23096,42.5733354,1149,5,1
"Shullsburg","WI",1887,-90.23096,42.5733354,830,1,1
"Sing Sing","NY",1889,-76.8910257,42.1719586,1493,0,1
"Sing-Sing","NY",1882,-76.8910257,42.1719586,1350,1,1
"Sioux City","IA",1876,-96.4003069,42.4999942,750,6,1
"Smartsville","CA",1875,-121.2988335,39.2077473,350,2,1
"Sodus Point","NY",1891,-76.9891355,43.2717322,0,0,1
"South Bend","IN",1890,-86.2519898,41.6763545,600,0,1
"South Boston","MA",1878,-71.0475773,42.3381437,5674,11,1
"South Boulder and Fort Collins","CO",1882,-104.9759032,40.5840625,0,0,1
"Southbridge","MA",1864,-72.0333905,42.0751065,730,4,1
"South Deerfield","MA",1879,-72.6078667,42.4773097,270,0,1
"South Deerfield","MA",1891,-72.6078667,42.4773097,300,0,1
"Southington","CT",1893,-72.8776013,41.5964869,840,0,1
"South Lee","MA",1887,-73.2773294,42.2778653,100,0,1
"South Manchester","CT",1878,-72.5215009,41.7759301,845,1,1
"South Wheeling","WV",1881,-80.7209149,40.0639616,576,0,1
"Springfield","IL",1890,-89.6501481,39.7817213,3830,5,2
"Springfield","MA",1890,-72.589811,42.1014831,5151,5,1
"Springfield","MA",1891,-72.589811,42.1014831,1400,0,1
"Spring Valley","IL",1892,-89.1998076,41.3275352,950,0,1
"Stamford","CT",1862,-73.5387341,41.0534302,900,2,1
"Stanton","WI",1881,-92.4671398,45.1730204,234,1,1
"St. Augustine","FL",1857,-81.3132083,29.8942639,600,0,1
"Staunton","VA",1880,-79.0716958,38.149576,333,0,1
"Staunton","VA",1884,-79.0716958,38.149576,370,1,1
"St. Charles","MN",1876,-92.064194,43.9694165,375,1,1
"Sterling","NJ",1890,-74.4945385,40.6713311,49,0,1
"Stillwater","MN",1875,-92.8088443,45.056004,1200,1,1
"Stillwater","MN",1887,-92.8088443,45.056004,1100,3,1
"St. John","NB",1859,-66.0633081,45.2733153,8450,6,1
"St. Louis","MO",1863,-90.1994042,38.6270025,3800,3,2
"St. Mary's of the Woods","IN",1877,-78.6943955,35.7491283,315,5,1
"Stockbridge","MA",1888,-73.3203862,42.2875874,452,0,1
"Stonington","CT",1889,-71.9058854,41.3358915,450,0,1
"Stoughton","MA",1864,-71.1027778,42.125,567,0,1
"St. Paul","MN",1875,-93.0899578,44.9537029,3300,12,2
"St. Paul","MN",1876,-93.0899578,44.9537029,1500,0,1
"St. Paul","MN",1886,-93.0899578,44.9537029,6208,5,3
"Streator","IL",1889,-88.835352,41.1208668,0,2,1
"St. Vrain Valley","CO",1882,-105.1071813,40.1551451,35,0,1
"Suffern","NJ",1888,-74.1495889,41.1148179,180,3,1
"Suffern","NY",1874,-74.1495889,41.1148179,150,2,1
"Suffern","NY",1883,-74.1495889,41.1148179,170,2,1
"Suffern","NY",1893,-74.1495889,41.1148179,217,1,1
"Susquehanna","PA",1880,-75.5991789,41.9436071,1500,1,1
"Syracuse","NY",1877,-76.1474244,43.0481221,1500,5,1
"Syracuse","NY",1885,-76.1474244,43.0481221,2527,0,1
"Tarrytown","NY",1889,-73.8587461,41.0762077,1277,0,1
"Terre Haute","IN",1880,-87.4139092,39.4667034,1600,0,1
"Terre Haute","IN",1885,-87.4139092,39.4667034,2100,14,2
"Terre Haute","IN",1890,-87.4139092,39.4667034,1250,9,1
"Ticonderoga","NY",1889,-73.4234531,43.8486707,475,0,1
"Toledo","OH",1878,-83.555212,41.6639383,1688,0,1
"Torrington","CT",1890,-73.1211715,41.8003049,1136,2,1
"Tracy","MN",1885,-95.6227778,44.2319444,67,0,1
"Trenton","MI",1889,-83.1782587,42.1394858,475,5,1
"Trenton","NJ",1857,-74.7429384,40.2170534,2050,5,1
"Trenton","NJ",1864,-74.7429384,40.2170534,2800,10,1
"Trenton","NJ",1874,-74.7429384,40.2170534,2700,6,1
"Troy","NY",1852,-73.6917851,42.7284117,3100,0,1
"Troy","NY",1859,-73.6917851,42.7284117,2600,6,1
"Tuckahoe","NY",1892,-73.827356,40.9503764,830,0,1
"Turtle Creek","PA",1891,-79.8250479,40.4059022,640,3,1
"Tuxedo","NY",1893,-74.1944529,41.2376671,146,2,1
"Tuxedo Park","NJ",1888,-74.2016667,41.2013889,97,0,1
"Union Hill","NJ",1887,-74.5201566,40.8559326,652,0,1
"Union Hill","NJ",1891,-74.5201566,40.8559326,801,0,1
"Union Springs","NY",1886,-76.6932818,42.8397906,300,1,1
"Utica","IL",1892,-89.0097155,41.3414125,507,0,1
"Utica","NY",1855,-75.232664,43.100903,1000,3,1
"Utica","NY",1857,-75.232664,43.100903,3000,0,1
"Utica","NY",1884,-75.232664,43.100903,800,0,1
"Utica","NY",1892,-75.232664,43.100903,1430,4,1
"Valesburg","NJ",1891,-74.2179355,40.7400351,265,1,1
"Valley Falls","RI",1891,-71.3906119,41.9067663,2905,1,1
"Vincennes","IN",1891,-87.5286325,38.677269,1018,7,1
"Virginia City","NV",1875,-119.6499793,39.3095135,1200,3,1
"Wabasha","MN",1876,-92.0382346,44.3710051,470,1,1
"Wallingford","CT",1892,-72.8230736,41.4570108,1450,0,1
"Ware","MA",1864,-72.2398566,42.2598457,1080,2,1
"Waseca","MN",1886,-93.5083843,44.0770411,675,0,1
"Washington","DC",1856,-77.0364641,38.9072309,2700,3,1
"Washington","DC",1885,-77.0364641,38.9072309,2235,4,1
"Washington","DC",1886,-77.0364641,38.9072309,1774,6,1
"Washington","DC",1889,-77.0364641,38.9072309,2250,5,2
"Washington","DC",1891,-77.0364641,38.9072309,1300,0,1
"Washington","DC",1893,-77.0364641,38.9072309,600,0,1
"Washington","GA",1890,-82.7393089,33.7367948,150,0,1
"Washington","IN",1892,-87.172789,38.6592152,1300,9,1
"Washington Heights","NY",1873,-73.9389213,40.8401451,1007,0,1
"Waterbury","CT",1860,-73.0514965,41.5581525,2800,3,1
"Watertown","NY",1858,-75.9107565,43.9747838,1073,5,1
"Waterville","NY",1882,-75.3798924,42.931181,1000,0,1
"Waukesha","WI",1885,-88.2314813,43.0116784,623,0,1
"Waverly","MN",1876,-93.9663889,45.0666667,460,11,1
"Webster","MA",1864,-71.8800628,42.050091,700,0,1
"Webster","MA",1891,-71.8800628,42.050091,1665,0,1
"Weedsport","NY",1888,-76.5627197,43.048677,416,1,1
"West Bloomfield","NY",1887,-77.5391622,42.9058971,228,0,1
"West Brighton, Staten Island","NY",1893,-74.1093141,40.6270298,1685,5,1
"Westerly","CT",1891,-71.8272871,41.3775987,980,0,1
"West Farms","NY",1882,-73.8816001,40.8430609,442,2,1
"West Farms","NY",1885,-73.8816001,40.8430609,336,0,1
"West Farms","NY",1888,-73.8816001,40.8430609,318,0,1
"West Farms","NY",1891,-73.8816001,40.8430609,493,0,1
"Westfield","MA",1887,-72.749538,42.1250929,1314,1,1
"West Fitchburg","MA",1887,-71.8022955,42.5834228,761,0,1
"Weston","WV",1887,-80.467313,39.0384274,253,0,1
"West Point","NY",1886,-73.9559721,41.3914827,375,0,1
"West Point","NY",1889,-73.9559721,41.3914827,366,0,1
"West Point","NY",1892,-73.9559721,41.3914827,520,0,1
"Westport","CT",1888,-73.3579049,41.1414717,500,0,1
"West Roxbury","MA",1878,-71.1626756,42.2797554,424,3,1
"West Roxbury","MA",1879,-71.1626756,42.2797554,984,3,1
"West Rutland","VT",1858,-73.0451081,43.5930919,1008,3,1
"West Stockbridge","MA",1888,-73.3677582,42.3338097,686,1,1
"West St. Paul","MN",1886,-93.1016074,44.9160768,721,0,1
"West Troy","NY",1892,-73.6917851,42.7284117,2110,0,1
"Weymouth","MA",1877,-70.9410356,42.2180724,1700,0,1
"Wheeling","WV",1852,-80.7209149,40.0639616,1250,3,1
"Wheeling","WV",1881,-80.7209149,40.0639616,2500,1,1
"White River Junction","VT",1878,-72.3192579,43.6489596,550,2,1
"Whitinsville","MA",1893,-71.6661783,42.1112075,910,0,1
"Williamsburg, Brookyln, New York","NY",1853,-73.9536163,40.7064461,4000,16,1
"Willow Lake","MN",1885,-95.1640605,44.3394439,69,0,1
"Wilmington","DE",1856,-75.5466667,39.7458333,1700,0,1
"Wilmington","DE",1872,-75.5466667,39.7458333,3100,0,2
"Winchendon","MA",1878,-72.0439529,42.6871009,625,0,1
"Winchester","VA",1880,-78.1633341,39.1856597,160,7,1
"Winchester","VA",1884,-78.1633341,39.1856597,153,4,1
"Winona","MN",1875,-91.6404389,44.0478889,800,10,1
"Winona","MN",1886,-91.6404389,44.0478889,1140,4,1
"Woodberry, Baltimore","MD",1893,-76.6513787,39.3368301,670,0,1
"Woodstock","MN",1885,-96.1005806,44.0091343,109,0,1
"Worcester","MA",1884,-71.8022934,42.2625932,1120,0,1
"Worcester","MA",1888,-71.8022934,42.2625932,2678,1,1
"Worcester","MA",1889,-71.8022934,42.2625932,6000,1,1
"Worcester","MA",1891,-71.8022934,42.2625932,2573,0,1
"Worcester","MA",1892,-71.8022934,42.2625932,7200,6,1
"Wyandotte","MI",1887,-83.1499239,42.2142064,43,1,1
"Wyandotte","MI",1888,-83.1499239,42.2142064,600,0,1
"Wyandotte","MI",1889,-83.1499239,42.2142064,895,0,1
"Yankton","SD",1876,-97.3972813,42.8711088,320,5,1
"Yonkers","NY",1853,-73.8987469,40.9312099,550,0,1
"Yonkers","NY",1885,-73.8987469,40.9312099,3772,0,1
"Youngstown","PA",1851,-79.3655913,40.2797927,1000,0,1
"Ypsilanti","MI",1879,-83.6129939,42.2411499,480,0,1
