diocese,date.erected,date.metropolitan,rite
"Grand Island, Nebraska","March 8, 1912",,Latin
"Corpus Christi, Texas","March 23, 1912",,Latin
"Spokane, Washington","December 17, 1913",,Latin
"El Paso, Texas","March 3, 1914",,Latin
"Lafayette, Louisiana","January 11, 1918",,Latin
"Monterey, California","April 27, 1840",,Latin
"Fresno, California","October 6, 1967",,Latin
"Raleigh, North Carolina","December 12, 1924",,Latin
"Amarillo, Texas","August 3, 1926",,Latin
"Reno, Nevada","March 27, 1931",,Latin
"San Diego, California","July 1, 1936",,Latin
"Lansing, Michigan","May 22, 1937",,Latin
"Camden, New Jersey","December 9, 1937",,Latin
"Owensboro, Kentucky","December 9, 1937",,Latin
"Paterson, New Jersey","December 9, 1937",,Latin
"Saginaw, Michigan","February 26, 1938",,Latin
"Washington, District of Columbia","July 22, 1939","July 22, 1939",Latin
"Gallup, New Mexico","December 16, 1939",,Latin
"Honolulu, Hawaii","September 10, 1941",,Latin
"Pueblo, Colorado","November 15, 1941",,Latin
"Youngstown, Ohio","May 15, 1943",,Latin
"Evansville, Indiana","October 21, 1944",,Latin
"Lafayette, Indiana","October 21, 1944",,Latin
"Steubenville, Ohio","October 21, 1944",,Latin
"Madison, Wisconsin","March 12, 1946",,Latin
"Austin, Texas","November 15, 1947",,Latin
"Joliet, Illinois","December 11, 1948",,Latin
"Worcester, Massachusetts","January 14, 1950",,Latin
"Greensburg, Pennsylvania","March 10, 1951",,Latin
"Dodge City, Kansas","March 19, 1951",,Latin
"Juneau, Alaska","June 23, 1951",,Latin
"Yakima, Washington","June 23, 1951",,Latin
"Bridgeport, Connecticut","August 6, 1953",,Latin
"Norwich, Connecticut","August 6, 1953",,Latin
"Atlanta, Georgia","July 2, 1956","February 21, 1962",Latin
"Jefferson City, Missouri","July 2, 1956",,Latin
"Springfield-Cape Girardeau, Missouri","July 2, 1956",,Latin
"Gary, Indiana","February 25, 1957",,Latin
"Rockville Centre, New York","April 6, 1957",,Latin
"New Ulm, Minnesota","January 3, 1958",,Latin
"Miami, Florida","August 13, 1958","May 25, 1958",Latin
"Allentown, Pennsylvania","January 28, 1961",,Latin
"Baton Rouge, Louisiana","July 20, 1961",,Latin
"San Angelo, Texas","October 16, 1961",,Latin
"Oakland, California","February 21, 1962",,Latin
"Santa Rosa, California","February 21, 1962",,Latin
"Stockton, California","February 21, 1962",,Latin
"Fairbanks, Alaska","August 8, 1962",,Latin
"Philadelphia, Pennsylvania","May 8, 1924","July 10, 1958",Byzantine
"Stamford, Connecticut","July 10, 1958",,Byzantine
"Chicago, Illinois","August 14, 1961",,Byzantine
"Pittsburgh, Pennsylvania","July 6, 1963","February 21, 1969",Byzantine
"Passaic, New Jersey","July 6, 1963",,Byzantine
"San Juan, Puerto Rico","August 11, 1511","April 30, 1960",Latin
"Ponce, Puerto Rico","November 21, 1924",,Latin
"Arecibo, Puerto Rico","July 30, 1960",,Latin
"Anchorage, Alaska","January 22, 1966","January 22, 1966",Latin
"Arlington, Virginia","May 28, 1974",,Latin
"Beaumont, Texas","June 25, 1966",,Latin
"Biloxi, Mississippi","March 1, 1977",,Latin
"Brownsville, Texas","July 10, 1965",,Latin
"Charlotte, North Carolina","November 12, 1971",,Latin
"Cheyenne, Wyoming","August 2, 1887",,Latin
"Colorado Springs, Colorado","10 November 1983",,Latin
"Gaylord, Michigan","December 19, 1970",,Latin
"Phoenix, Arizona","December 3, 1981",,Byzantine
"Houma-Thibodaux, Louisiana","March 2, 1977",,Latin
"Kalamazoo, Michigan","December 19, 1970",,Latin
"Knoxville, Tennessee", "May 27, 1988",,Latin
"Lake Charles, Louisiana","January 29, 1980",,Latin
"Laredo, Texas","July 3, 2000",,Latin
"Las Cruces","August 17, 1982",,Latin
"Las Vegas, Nevada", "March 21, 1995",,Latin
"Lexington, Kentucky", "January 14, 1988",,Latin
"Lubbock, Texas","March 25, 1983",,Latin
"Memphis, Tennessee","June 20, 1970",,Latin
"Metuchen, New Jersey","November 19, 1981",,Latin
"Newton, Massachusetts","June 28, 1976",,Byzantine
"Orange, California","March 24, 1976",,Latin
"Newark, New Jersey","November 6, 1995",,Antiochian
"Los Angeles","February 19, 1994",,Antiochian
"New York, New York", "September 12, 2005",,Armenian
"Palm Beach, Florida","June 16, 1984",,Latin
"Parma, Ohio","February 21, 1969",,Byzantine
"Pensacola, Tallahassee","October 1, 1975",,Latin
"Phoenix, Arizona","June 28, 1969",,Latin
"Canton, Ohio","March 26, 1987",,Byzantine
"Parma, Ohio","December 5, 1983",,Byzantine
"Brooklyn, New York","January 10, 1966",,Antiochian
"St. Petersburg, Florida","March 2, 1968",,Latin
"San Diego, California", "May 21, 2002",,Chaldean
"Virgin Islands", "April 20, 1977",,Latin
"Chicago, Illinois", "March 13, 2001",,Chaldean
"Detroit, Michigan","August 3, 1985",,Chaldean
"San Bernardino, California","July 14, 1978",,Latin
"San Jose, California","January 27, 1981",,Latin
"Shreveport, Louisiana","June 16, 1986",,Latin
"Tyler, Texas","December 12, 1986",,Latin
"Venice, Florida","June 16, 1984",,Latin
"Victoria, Texas","April 13, 1982",,Latin

# Citation: Joseph Bernard Code, *Dictionary of the American Hierarchy (1789-1964)* (New York: Joseph F. Wagner, 1964), 425-26.
#
# Citation: http://www.catholic-hierarchy.org/country/dus2.html
#
# Explanation: "Diocese" is the name of the diocese, with the name of the state when necessary to clear up ambiguity. "Date.erected" is the date that the diocese was created. "Date.metropolitan" is the date the diocese became a metropolitan see or sometimes just an archdiocese. "Rite" is the ritual observed in the diocese. Regions or institutions with ordinary jurisdiction but not episcopal character are not included. Code's data extends only to 1963. Date after 1963 comes from the Catholic Hierarchy website cited. With the exception of Puerto Rico, Latin American dioceses, some of which are much older the United States dioceses, are not included. I have corrected some errors in Code's list.
#
# Data entry: Lincoln Mullen, Abby Mullen
